,date,store_nbr,family,sales,onpromotion,transactions,dcoilwtico,type,locale_name,transferred
797712,2014-03-20,34.0,PLAYERS AND ELECTRONICS,5.0,0.0,2614.0,99.68,Not Holiday,Ecuador,False
2276071,2016-06-14,13.0,HOME APPLIANCES,0.0,0.0,747.0,48.49,Not Holiday,Ecuador,False
1493280,2015-04-09,52.0,LAWN AND GARDEN,0.0,0.0,0.0,50.79,Not Holiday,Ecuador,False
1857572,2015-10-28,21.0,PERSONAL CARE,209.0,0.0,823.0,45.93,Not Holiday,Ecuador,False
2013317,2016-01-23,43.0,DELI,247.0,0.0,1264.0,30.31,Not Holiday,Ecuador,False
2272395,2016-06-12,10.0,BOOKS,0.0,0.0,890.0,48.89,Not Holiday,Ecuador,False
2531710,2016-10-31,38.0,BREAD/BAKERY,404.37,7.0,1124.0,46.83,Not Holiday,Ecuador,False
553508,2013-11-03,32.0,MEATS,51.839,0.0,778.0,94.58,Holiday,Ecuador,False
2168476,2016-04-19,47.0,BEAUTY,10.0,0.0,3750.0,40.88,Event,Ecuador,False
1280921,2014-12-12,43.0,HOME APPLIANCES,0.0,0.0,1231.0,57.81,Not Holiday,Ecuador,False
2765327,2017-03-10,43.0,HARDWARE,0.0,0.0,1376.0,48.05,Not Holiday,Ecuador,False
1368051,2015-01-29,37.0,PET SUPPLIES,0.0,0.0,1536.0,44.12,Not Holiday,Ecuador,False
2984391,2017-07-07,39.0,MEATS,148.633,0.0,1419.0,44.25,Not Holiday,Ecuador,False
2744104,2017-02-26,48.0,EGGS,162.0,1.0,3157.0,54.04,Not Holiday,Ecuador,False
591537,2013-11-24,51.0,BOOKS,0.0,0.0,1888.0,93.86,Not Holiday,Ecuador,False
1002091,2014-07-09,18.0,BOOKS,0.0,0.0,1374.0,102.93,Event,Ecuador,False
3039731,2017-08-07,42.0,MAGAZINES,17.0,0.0,1086.0,49.37,Not Holiday,Ecuador,False
1285988,2014-12-15,35.0,BEAUTY,1.0,0.0,603.0,55.96,Not Holiday,Ecuador,False
2965379,2017-06-28,3.0,LAWN AND GARDEN,98.0,11.0,2957.0,44.74,Not Holiday,Ecuador,False
2684442,2017-01-24,22.0,GROCERY I,1776.0,42.0,680.0,52.38,Not Holiday,Ecuador,False
244338,2013-05-17,5.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,1442.0,95.72,Not Holiday,Ecuador,False
2937424,2017-06-14,20.0,HOME AND KITCHEN II,44.0,2.0,1313.0,44.79,Not Holiday,Ecuador,False
2848483,2017-04-25,25.0,EGGS,87.0,1.0,683.0,49.22,Not Holiday,Ecuador,False
1406635,2015-02-20,19.0,AUTOMOTIVE,9.0,0.0,1255.0,49.95,Not Holiday,Ecuador,False
50829,2013-01-29,28.0,BABY CARE,0.0,0.0,815.0,97.62,Not Holiday,Ecuador,False
167220,2013-04-04,45.0,BABY CARE,0.0,0.0,2922.0,93.26,Not Holiday,Ecuador,False
217909,2013-05-03,15.0,BEAUTY,2.0,0.0,1370.0,95.25,Not Holiday,Ecuador,False
1288730,2014-12-17,10.0,BREAD/BAKERY,111.0,1.0,1198.0,56.43,Not Holiday,Ecuador,False
1231375,2014-11-14,54.0,BOOKS,0.0,0.0,733.0,75.91,Not Holiday,Ecuador,False
1506182,2015-04-17,11.0,LADIESWEAR,0.0,0.0,2037.0,55.71,Not Holiday,Ecuador,False
2870966,2017-05-08,4.0,LAWN AND GARDEN,18.0,0.0,1205.0,46.46,Not Holiday,Ecuador,False
60136,2013-02-03,40.0,BEAUTY,2.0,0.0,1035.0,96.21,Not Holiday,Ecuador,False
590197,2013-11-24,10.0,HOME APPLIANCES,0.0,0.0,1012.0,93.86,Not Holiday,Ecuador,False
3044734,2017-08-10,32.0,EGGS,249.0,1.0,596.0,48.54,Holiday,Ecuador,True
2220954,2016-05-14,17.0,EGGS,207.0,2.0,1681.0,47.72,Event,Ecuador,False
1729347,2015-08-17,24.0,BREAD/BAKERY,814.046,0.0,2428.0,41.93,Not Holiday,Ecuador,False
667518,2014-01-06,31.0,HOME CARE,266.0,0.0,1277.0,93.12,Not Holiday,Ecuador,False
2223777,2016-05-15,48.0,POULTRY,1290.935,0.0,3890.0,47.72,Event,Ecuador,False
1016495,2014-07-17,22.0,LAWN AND GARDEN,0.0,0.0,0.0,103.84,Not Holiday,Ecuador,False
530346,2013-10-21,32.0,POULTRY,53.632,0.0,630.0,99.28,Not Holiday,Ecuador,False
498871,2013-10-03,51.0,BEAUTY,2.0,0.0,1506.0,103.29,Not Holiday,Ecuador,False
438358,2013-08-30,53.0,FROZEN FOODS,0.0,0.0,0.0,107.98,Not Holiday,Ecuador,False
1607954,2015-06-13,17.0,LADIESWEAR,15.0,0.0,1434.0,59.53,Not Holiday,Ecuador,False
513636,2013-10-12,12.0,HOME AND KITCHEN II,0.0,0.0,1219.0,102.46,Not Holiday,Ecuador,False
2628725,2016-12-23,8.0,AUTOMOTIVE,1.0,0.0,5261.0,52.01,Additional,Ecuador,False
50855,2013-01-29,28.0,PLAYERS AND ELECTRONICS,0.0,0.0,815.0,97.62,Not Holiday,Ecuador,False
359929,2013-07-17,52.0,MAGAZINES,0.0,0.0,0.0,106.39,Not Holiday,Ecuador,False
2679671,2017-01-21,39.0,PET SUPPLIES,9.0,0.0,1659.0,52.77,Not Holiday,Ecuador,False
497889,2013-10-03,21.0,EGGS,0.0,0.0,0.0,103.29,Not Holiday,Ecuador,False
1079568,2014-08-21,43.0,PRODUCE,0.0,0.0,1219.0,93.97,Not Holiday,Ecuador,False
1589719,2015-06-03,5.0,AUTOMOTIVE,3.0,0.0,1596.0,59.67,Not Holiday,Ecuador,False
2337916,2016-07-15,51.0,LAWN AND GARDEN,22.0,0.0,1805.0,45.93,Not Holiday,Ecuador,False
2851387,2017-04-27,5.0,EGGS,71.0,2.0,1071.0,48.96,Not Holiday,Ecuador,False
2986555,2017-07-08,51.0,EGGS,365.0,0.0,1845.0,44.4,Not Holiday,Ecuador,False
3042998,2017-08-09,33.0,MAGAZINES,1.0,0.0,857.0,49.59,Not Holiday,Ecuador,False
30707,2013-01-18,12.0,DELI,82.0,0.0,1039.0,95.61,Not Holiday,Ecuador,False
48041,2013-01-27,51.0,HOME CARE,0.0,0.0,1707.0,95.95,Not Holiday,Ecuador,False
967707,2014-06-24,2.0,CELEBRATION,0.0,0.0,1841.0,106.64,Not Holiday,Ecuador,False
1965907,2015-12-28,10.0,LAWN AND GARDEN,0.0,0.0,1054.0,36.36,Not Holiday,Ecuador,False
1236186,2014-11-17,37.0,PRODUCE,2889.762,0.0,1455.0,75.64,Not Holiday,Ecuador,False
2708383,2017-02-06,45.0,POULTRY,1468.124,1.0,3748.0,53.01,Not Holiday,Ecuador,False
768526,2014-03-04,14.0,GROCERY II,4.0,0.0,1124.0,103.64,Holiday,Ecuador,False
2121152,2016-03-24,17.0,AUTOMOTIVE,8.0,0.0,1892.0,38.14,Not Holiday,Ecuador,False
2730854,2017-02-19,24.0,PET SUPPLIES,15.0,0.0,1232.0,54.02,Not Holiday,Ecuador,False
2226070,2016-05-17,10.0,FROZEN FOODS,48.0,1.0,951.0,48.29,Not Holiday,Ecuador,False
842402,2014-04-14,39.0,BEAUTY,1.0,0.0,1484.0,104.05,Holiday,Libertad,False
1273704,2014-12-08,40.0,PLAYERS AND ELECTRONICS,5.0,0.0,1511.0,63.13,Holiday,Loja,False
2546387,2016-11-08,50.0,PRODUCE,2324.677,1.0,2212.0,44.96,Not Holiday,Ecuador,False
1960130,2015-12-23,51.0,LADIESWEAR,3.0,0.0,3292.0,36.76,Additional,Ecuador,False
2618884,2016-12-18,33.0,PET SUPPLIES,3.0,0.0,1155.0,52.13,Not Holiday,Ecuador,False
2542336,2016-11-06,36.0,BREAD/BAKERY,408.0,72.0,851.0,44.88,Holiday,Santo Domingo de los Tsachilas,False
811363,2014-03-28,16.0,HOME AND KITCHEN II,5.0,0.0,786.0,101.73,Not Holiday,Ecuador,False
2292305,2016-06-23,19.0,HOME AND KITCHEN I,4.0,0.0,987.0,49.34,Holiday,Guaranda,False
763202,2014-03-01,15.0,BEAUTY,3.0,0.0,1320.0,105.34,Not Holiday,Ecuador,False
2420428,2016-08-30,13.0,SEAFOOD,4.0,0.0,835.0,46.32,Not Holiday,Ecuador,False
11684,2013-01-07,29.0,PLAYERS AND ELECTRONICS,0.0,0.0,0.0,93.2,Not Holiday,Ecuador,False
2392142,2016-08-14,20.0,PLAYERS AND ELECTRONICS,12.0,0.0,1586.0,45.72,Not Holiday,Ecuador,False
517581,2013-10-14,24.0,BABY CARE,0.0,0.0,2215.0,102.46,Not Holiday,Ecuador,False
1260012,2014-12-01,3.0,PRODUCE,8809.429,0.0,3286.0,68.98,Event,Ecuador,False
2503109,2016-10-15,35.0,HOME AND KITCHEN I,4.0,0.0,756.0,49.97,Not Holiday,Ecuador,False
2082915,2016-03-02,46.0,EGGS,150.0,1.0,3369.0,34.57,Holiday,Manta,False
822506,2014-04-03,30.0,BREAD/BAKERY,116.0,0.0,706.0,100.29,Not Holiday,Ecuador,False
2789126,2017-03-24,8.0,LAWN AND GARDEN,26.0,0.0,2856.0,47.3,Not Holiday,Ecuador,False
1292791,2014-12-19,25.0,CLEANING,630.0,0.0,1067.0,56.91,Not Holiday,Ecuador,False
2721877,2017-02-14,22.0,PERSONAL CARE,96.0,6.0,860.0,53.21,Not Holiday,Ecuador,False
2567731,2016-11-19,49.0,MAGAZINES,15.0,0.0,3393.0,47.48,Not Holiday,Ecuador,False
144038,2013-03-22,44.0,HOME CARE,0.0,0.0,3826.0,93.41,Not Holiday,Ecuador,False
139418,2013-03-20,12.0,HOME CARE,0.0,0.0,1240.0,93.21,Not Holiday,Ecuador,False
1750454,2015-08-29,15.0,PERSONAL CARE,192.0,0.0,1336.0,49.2,Not Holiday,Ecuador,False
1602323,2015-06-10,8.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,2588.0,61.36,Not Holiday,Ecuador,False
2657200,2017-01-09,6.0,POULTRY,707.317,0.0,1771.0,51.95,Not Holiday,Ecuador,False
2571301,2016-11-21,49.0,PREPARED FOODS,352.474,2.0,2873.0,47.48,Not Holiday,Ecuador,False
1730936,2015-08-18,18.0,EGGS,164.0,0.0,1389.0,42.58,Not Holiday,Ecuador,False
1797253,2015-09-24,29.0,PRODUCE,552.847,0.0,853.0,44.94,Not Holiday,Ecuador,False
2706638,2017-02-05,46.0,SEAFOOD,109.534004,1.0,4584.0,53.01,Not Holiday,Ecuador,False
2139939,2016-04-03,46.0,EGGS,400.0,1.0,5016.0,34.3,Not Holiday,Ecuador,False
632707,2013-12-18,2.0,MAGAZINES,0.0,0.0,2475.0,97.59,Not Holiday,Ecuador,False
2702883,2017-02-03,41.0,CELEBRATION,15.0,1.0,1339.0,53.81,Not Holiday,Ecuador,False
1318821,2015-01-02,3.0,SEAFOOD,137.171,7.0,3429.0,52.72,Bridge,Ecuador,False
2415925,2016-08-27,39.0,HOME APPLIANCES,0.0,0.0,1497.0,46.97,Not Holiday,Ecuador,False
892145,2014-05-12,34.0,HARDWARE,2.0,0.0,2522.0,100.89,Holiday,Puyo,False
2912253,2017-05-31,13.0,MEATS,125.321,0.0,926.0,48.29,Not Holiday,Ecuador,False
2110936,2016-03-18,31.0,HARDWARE,0.0,0.0,1301.0,39.47,Not Holiday,Ecuador,False
1135394,2014-09-22,7.0,LAWN AND GARDEN,19.0,0.0,1882.0,91.46,Not Holiday,Ecuador,False
2071029,2016-02-25,10.0,BOOKS,0.0,0.0,846.0,31.4,Not Holiday,Ecuador,False
658779,2014-01-01,36.0,MEATS,46.34,0.0,487.0,95.14,Holiday,Ecuador,False
1840607,2015-10-18,47.0,"LIQUOR,WINE,BEER",0.0,0.0,4777.0,45.91,Not Holiday,Ecuador,False
410234,2013-08-15,11.0,BEVERAGES,2423.0,0.0,2394.0,107.43,Holiday,Riobamba,False
1464740,2015-03-24,51.0,PERSONAL CARE,222.0,0.0,1453.0,47.03,Not Holiday,Ecuador,False
2017570,2016-01-26,10.0,BREAD/BAKERY,85.0,0.0,932.0,29.54,Not Holiday,Ecuador,False
575610,2013-11-15,54.0,HOME AND KITCHEN II,0.0,0.0,701.0,93.8,Not Holiday,Ecuador,False
69699,2013-02-09,5.0,POULTRY,201.849,0.0,1670.0,97.01,Not Holiday,Ecuador,False
1795960,2015-09-23,44.0,MEATS,774.261,0.0,4089.0,44.53,Not Holiday,Ecuador,False
1174065,2014-10-13,45.0,HOME AND KITCHEN I,68.0,0.0,3163.0,85.73,Not Holiday,Ecuador,False
832724,2014-04-09,15.0,PET SUPPLIES,0.0,0.0,1292.0,103.55,Not Holiday,Ecuador,False
177586,2013-04-10,35.0,BREAD/BAKERY,51.0,0.0,469.0,94.59,Not Holiday,Ecuador,False
2906743,2017-05-28,8.0,PERSONAL CARE,441.0,7.0,2500.0,49.63,Not Holiday,Ecuador,False
637730,2013-12-20,46.0,PRODUCE,20.0,0.0,4922.0,99.11,Not Holiday,Ecuador,False
2367681,2016-07-31,35.0,LADIESWEAR,0.0,0.0,819.0,40.05,Not Holiday,Ecuador,False
500579,2013-10-04,48.0,PLAYERS AND ELECTRONICS,0.0,0.0,2625.0,103.83,Not Holiday,Ecuador,False
1383138,2015-02-07,8.0,SEAFOOD,62.463,0.0,3005.0,52.99,Not Holiday,Ecuador,False
614472,2013-12-07,44.0,BOOKS,0.0,0.0,4935.0,97.1,Not Holiday,Ecuador,False
1055254,2014-08-08,9.0,BOOKS,0.0,0.0,1888.0,97.61,Not Holiday,Ecuador,False
1671564,2015-07-16,1.0,BREAD/BAKERY,437.797,1.0,1774.0,50.9,Not Holiday,Ecuador,False
2869466,2017-05-07,13.0,BREAD/BAKERY,255.0,41.0,944.0,46.46,Not Holiday,Ecuador,False
1387229,2015-02-09,24.0,SCHOOL AND OFFICE SUPPLIES,0.0,0.0,2571.0,52.99,Not Holiday,Ecuador,False
425232,2013-08-23,33.0,LADIESWEAR,0.0,0.0,866.0,106.48,Not Holiday,Ecuador,False
741948,2014-02-17,19.0,AUTOMOTIVE,4.0,0.0,1241.0,102.54,Not Holiday,Ecuador,False
1868027,2015-11-03,14.0,LADIESWEAR,0.0,0.0,1325.0,47.88,Holiday,Ecuador,False
2101696,2016-03-13,21.0,HARDWARE,4.0,0.0,1193.0,37.2,Not Holiday,Ecuador,False
649498,2013-12-27,25.0,HOME AND KITCHEN II,0.0,0.0,1949.0,99.94,Not Holiday,Ecuador,False
1911391,2015-11-27,32.0,LINGERIE,1.0,0.0,533.0,40.57,Event,Ecuador,False
225094,2013-05-07,16.0,PET SUPPLIES,0.0,0.0,1050.0,95.28,Not Holiday,Ecuador,False
74482,2013-02-11,42.0,PET SUPPLIES,0.0,0.0,0.0,97.01,Holiday,Ecuador,False
393806,2013-08-05,53.0,DELI,0.0,0.0,0.0,106.61,Holiday,Esmeraldas,False
2262531,2016-06-06,35.0,CLEANING,525.0,9.0,615.0,49.71,Not Holiday,Ecuador,False
1694534,2015-07-28,49.0,CLEANING,1344.0,2.0,2374.0,47.97,Not Holiday,Ecuador,False
370564,2013-07-23,50.0,SEAFOOD,21.477,0.0,2348.0,107.13,Holiday,Cayambe,False
1639431,2015-06-28,53.0,HARDWARE,0.0,0.0,1078.0,58.34,Not Holiday,Ecuador,False
198847,2013-04-22,31.0,HARDWARE,2.0,0.0,1175.0,88.81,Not Holiday,Ecuador,False
2769908,2017-03-13,20.0,DAIRY,700.0,30.0,1305.0,47.95,Not Holiday,Ecuador,False
2399845,2016-08-18,38.0,DAIRY,732.0,18.0,1299.0,48.2,Not Holiday,Ecuador,False
1636782,2015-06-27,27.0,BREAD/BAKERY,746.654,0.0,1821.0,58.34,Not Holiday,Ecuador,False
2174399,2016-04-22,10.0,HOME CARE,155.0,1.0,898.0,42.76,Event,Ecuador,False
2687895,2017-01-26,19.0,AUTOMOTIVE,4.0,0.0,895.0,53.24,Not Holiday,Ecuador,False
877971,2014-05-04,36.0,PRODUCE,0.0,0.0,1154.0,99.74,Not Holiday,Ecuador,False
2252684,2016-06-01,6.0,PLAYERS AND ELECTRONICS,10.0,0.0,1843.0,49.07,Not Holiday,Ecuador,False
1011922,2014-07-14,46.0,BABY CARE,0.0,0.0,3127.0,101.73,Not Holiday,Ecuador,False
2100645,2016-03-12,43.0,LADIESWEAR,0.0,0.0,1272.0,37.2,Not Holiday,Ecuador,False
1233401,2014-11-16,7.0,HOME APPLIANCES,0.0,0.0,1633.0,75.64,Not Holiday,Ecuador,False
1775155,2015-09-12,8.0,DELI,362.747,0.0,2917.0,44.07,Not Holiday,Ecuador,False
2851586,2017-04-27,11.0,FROZEN FOODS,41.0,4.0,2001.0,48.96,Not Holiday,Ecuador,False
2990351,2017-07-11,4.0,FROZEN FOODS,83.511,0.0,1213.0,45.06,Not Holiday,Ecuador,False
2718204,2017-02-12,19.0,HOME AND KITCHEN I,26.0,2.0,1260.0,52.96,Not Holiday,Ecuador,False
796200,2014-03-19,43.0,AUTOMOTIVE,7.0,0.0,1224.0,100.71,Not Holiday,Ecuador,False
1592330,2015-06-04,30.0,BOOKS,0.0,0.0,711.0,58.0,Not Holiday,Ecuador,False
1414779,2015-02-24,49.0,PET SUPPLIES,0.0,0.0,2136.0,48.48,Not Holiday,Ecuador,False
12032,2013-01-07,40.0,GROCERY I,2071.0,0.0,1148.0,93.2,Not Holiday,Ecuador,False
1622869,2015-06-21,37.0,HOME CARE,253.0,1.0,1303.0,60.01,Not Holiday,Ecuador,False
47515,2013-01-27,35.0,LAWN AND GARDEN,0.0,0.0,650.0,95.95,Not Holiday,Ecuador,False
45170,2013-01-26,18.0,HOME CARE,0.0,0.0,1296.0,95.95,Not Holiday,Ecuador,False
2214755,2016-05-11,45.0,HOME AND KITCHEN I,57.0,1.0,3074.0,46.21,Event,Ecuador,False
125238,2013-03-12,14.0,POULTRY,52.759,0.0,1555.0,92.44,Not Holiday,Ecuador,False
1446712,2015-03-14,45.0,HOME AND KITCHEN I,73.0,0.0,4412.0,43.93,Not Holiday,Ecuador,False
8112,2013-01-05,29.0,LADIESWEAR,0.0,0.0,0.0,93.2,Work Day,Ecuador,False
1890650,2015-11-15,52.0,BOOKS,0.0,0.0,0.0,41.68,Not Holiday,Ecuador,False
1744541,2015-08-25,52.0,LADIESWEAR,0.0,0.0,0.0,39.15,Not Holiday,Ecuador,False
2555916,2016-11-13,15.0,"LIQUOR,WINE,BEER",11.0,0.0,1150.0,43.29,Not Holiday,Ecuador,False
2443822,2016-09-12,20.0,PREPARED FOODS,71.253,1.0,1369.0,46.28,Not Holiday,Ecuador,False
1675384,2015-07-18,8.0,PRODUCE,6104.891,0.0,2810.0,50.11,Not Holiday,Ecuador,False
2202535,2016-05-06,53.0,BREAD/BAKERY,827.425,86.0,1692.0,44.58,Event,Ecuador,False
1923785,2015-12-04,30.0,CLEANING,457.0,3.0,713.0,40.0,Not Holiday,Ecuador,False
2154518,2016-04-12,2.0,BEVERAGES,2698.0,45.0,1819.0,42.12,Holiday,Cuenca,False
181548,2013-04-12,47.0,CLEANING,1499.0,0.0,3415.0,91.23,Holiday,Cuenca,False
2727373,2017-02-17,27.0,EGGS,218.0,25.0,1660.0,53.41,Not Holiday,Ecuador,False
2025646,2016-01-30,38.0,PREPARED FOODS,193.755,0.0,2154.0,31.62,Not Holiday,Ecuador,False
2225730,2016-05-16,54.0,BABY CARE,1.0,1.0,755.0,47.72,Event,Ecuador,False
2393465,2016-08-15,6.0,PRODUCE,2529.213,3.0,1601.0,45.72,Holiday,Riobamba,False
869155,2014-04-29,39.0,PERSONAL CARE,231.0,0.0,1423.0,101.56,Not Holiday,Ecuador,False
2017358,2016-01-26,3.0,MEATS,599.014,0.0,2654.0,29.54,Not Holiday,Ecuador,False
1456682,2015-03-20,23.0,LADIESWEAR,0.0,0.0,1034.0,46.0,Not Holiday,Ecuador,False
1579314,2015-05-28,13.0,MAGAZINES,0.0,0.0,1028.0,57.69,Not Holiday,Ecuador,False
1956030,2015-12-22,18.0,BREAD/BAKERY,514.0,0.0,1934.0,36.12,Holiday,Salinas,False
1522861,2015-04-26,31.0,AUTOMOTIVE,3.0,0.0,1412.0,55.56,Not Holiday,Ecuador,False
2046712,2016-02-11,29.0,DAIRY,474.0,0.0,1082.0,26.19,Not Holiday,Ecuador,False
945835,2014-06-11,41.0,GROCERY II,22.0,0.0,905.0,105.04,Not Holiday,Ecuador,False
3000273,2017-07-16,35.0,AUTOMOTIVE,10.0,0.0,802.0,46.02,Not Holiday,Ecuador,False
2677403,2017-01-20,25.0,BEAUTY,4.0,2.0,1075.0,52.33,Not Holiday,Ecuador,False
209329,2013-04-28,25.0,BEAUTY,1.0,0.0,788.0,94.09,Not Holiday,Ecuador,False
2648051,2017-01-03,53.0,LAWN AND GARDEN,4.0,0.0,1157.0,52.36,Not Holiday,Ecuador,False
2607218,2016-12-12,4.0,DELI,188.076,6.0,1342.0,52.74,Not Holiday,Ecuador,False
948303,2014-06-13,8.0,CELEBRATION,0.0,0.0,2961.0,107.49,Not Holiday,Ecuador,False
1000794,2014-07-08,32.0,PLAYERS AND ELECTRONICS,1.0,0.0,556.0,104.06,Event,Ecuador,False
1635332,2015-06-26,37.0,CLEANING,1196.0,4.0,1622.0,59.41,Not Holiday,Ecuador,False
2222538,2016-05-15,11.0,EGGS,310.0,2.0,2589.0,47.72,Event,Ecuador,False
1515210,2015-04-22,15.0,BREAD/BAKERY,161.0,0.0,1432.0,56.17,Not Holiday,Ecuador,False
2659451,2017-01-10,21.0,BEAUTY,6.0,1.0,1007.0,50.82,Not Holiday,Ecuador,False
362198,2013-07-19,13.0,HOME AND KITCHEN I,0.0,0.0,906.0,108.0,Not Holiday,Ecuador,False
1300375,2014-12-22,47.0,AUTOMOTIVE,18.0,0.0,6415.0,55.25,Additional,Ecuador,False
248906,2013-05-19,36.0,GROCERY I,4602.0,0.0,1651.0,96.29,Not Holiday,Ecuador,False
1995502,2016-01-13,43.0,HARDWARE,0.0,0.0,1097.0,30.42,Not Holiday,Ecuador,False
2951300,2017-06-22,8.0,SEAFOOD,37.907,0.0,2467.0,42.53,Not Holiday,Ecuador,False
1612599,2015-06-15,50.0,FROZEN FOODS,147.281,3.0,2288.0,59.53,Not Holiday,Ecuador,False
2679173,2017-01-21,24.0,MAGAZINES,36.0,0.0,2284.0,52.77,Not Holiday,Ecuador,False
1052403,2014-08-06,30.0,MEATS,45.342,0.0,663.0,96.93,Not Holiday,Ecuador,False
1903583,2015-11-23,12.0,BABY CARE,0.0,0.0,1116.0,39.27,Not Holiday,Ecuador,False
412594,2013-08-16,28.0,LAWN AND GARDEN,0.0,0.0,991.0,107.58,Not Holiday,Ecuador,False
2525309,2016-10-28,6.0,CELEBRATION,15.0,0.0,1638.0,48.72,Not Holiday,Ecuador,False
1062831,2014-08-12,22.0,MEATS,0.0,0.0,0.0,97.36,Not Holiday,Ecuador,False
1072434,2014-08-17,43.0,MEATS,146.069,0.0,1490.0,96.44,Not Holiday,Ecuador,False
2129670,2016-03-29,5.0,BOOKS,0.0,0.0,1147.0,36.91,Not Holiday,Ecuador,False
1634059,2015-06-25,54.0,CLEANING,588.0,2.0,648.0,59.59,Holiday,Machala,False
384513,2013-07-31,41.0,"LIQUOR,WINE,BEER",29.0,0.0,846.0,105.1,Not Holiday,Ecuador,False
928605,2014-06-02,5.0,DELI,306.686,0.0,1666.0,103.07,Not Holiday,Ecuador,False
2931294,2017-06-10,50.0,MEATS,626.412,47.0,3364.0,46.1,Not Holiday,Ecuador,False
2734260,2017-02-21,20.0,AUTOMOTIVE,3.0,0.0,1311.0,54.02,Not Holiday,Ecuador,False
2769821,2017-03-13,17.0,LAWN AND GARDEN,0.0,0.0,1392.0,47.95,Not Holiday,Ecuador,False
2261931,2016-06-06,17.0,BABY CARE,1.0,0.0,1506.0,49.71,Not Holiday,Ecuador,False
1355124,2015-01-22,24.0,BEAUTY,1.0,0.0,2338.0,45.93,Not Holiday,Ecuador,False
904231,2014-05-19,22.0,"LIQUOR,WINE,BEER",0.0,0.0,0.0,102.95,Not Holiday,Ecuador,False
1662896,2015-07-11,8.0,HOME AND KITCHEN II,27.0,0.0,2962.0,52.19,Not Holiday,Ecuador,False
1104588,2014-09-04,46.0,BEVERAGES,4095.0,1.0,3284.0,94.51,Not Holiday,Ecuador,False
2570518,2016-11-21,26.0,BREAD/BAKERY,162.0,3.0,462.0,47.48,Not Holiday,Ecuador,False
2076981,2016-02-28,28.0,HOME AND KITCHEN II,20.0,0.0,1361.0,32.74,Not Holiday,Ecuador,False
1935539,2015-12-11,8.0,GROCERY II,45.0,0.0,3205.0,35.65,Not Holiday,Ecuador,False
1659268,2015-07-09,6.0,HOME CARE,253.0,0.0,1653.0,52.76,Not Holiday,Ecuador,False
1777333,2015-09-13,20.0,DELI,966.696,3.0,2196.0,44.07,Not Holiday,Ecuador,False
2270511,2016-06-11,7.0,BABY CARE,0.0,0.0,1870.0,48.89,Not Holiday,Ecuador,False
2784540,2017-03-21,31.0,LINGERIE,6.0,0.0,1435.0,47.02,Not Holiday,Ecuador,False
2063803,2016-02-21,7.0,BREAD/BAKERY,811.43,0.0,1648.0,31.37,Not Holiday,Ecuador,False
869068,2014-04-29,37.0,BOOKS,0.0,0.0,1460.0,101.56,Not Holiday,Ecuador,False
1501232,2015-04-14,23.0,LADIESWEAR,0.0,0.0,949.0,53.3,Holiday,Libertad,False
113157,2013-03-05,26.0,PERSONAL CARE,148.0,0.0,727.0,90.88,Not Holiday,Ecuador,False
1735911,2015-08-21,7.0,BEAUTY,3.0,0.0,1822.0,40.45,Not Holiday,Ecuador,False
2759419,2017-03-07,26.0,GROCERY II,0.0,0.0,497.0,52.68,Not Holiday,Ecuador,False
